analysis_id,outcome,timepoint,population,comparison,subgroup_of,effect_measure,model,n_studies_reported,pooled_effect,pooled_ci_lower,pooled_ci_upper,i2,tau2,q,p_value,source_page,source_figure,source_table,certainty,note
A2-ALL,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. other psychological treatment — Published + unpublished,,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),14,0.13,-0.06,0.31,28 (95%CI 0~61),,18.17 (df=13),0.18,12,Fig 5,Table 2,KNOWN,"Table 2 row 2; Z=1.34; Fig 5 overall SE 0.10, Var 0.01; delta-g = -0.04, delta-g% = -24% ('24% decrease ... to g = 0.13 (-0.06~0.31)', text p14); NPT/NComp = 364/417"
A2-QBET,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. other PT — Published vs. Unpublished subgroup contrast,A2-ALL,Q-between (subgroup contrast),MIXED (fully random effects within subgroups; study-to-study variance pooled across subgroups; ANOVA-based Q-test),2 vs 12,,,,,,Qbetw=0.82 (df=1),.37,12,,Table 2,KNOWN,Table 2 row 2
A3-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. antidepressant medication — Unpublished,A3-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),3,-0.21,-0.53,0.11,11 (95%CI 0~76),,2.24 (df=2),0.19,12,Fig 6,Table 2,KNOWN,"Table 2 row 3; Z=-1.30; Fig 6 subtotal SE 0.16, Var 0.03; text p15: 'g = -0.21 (CI95% -0.53~0.11) for 3 unpublished studies (n = 231)'; NPT/NComp = 116/115; pooled entirely from author-supplied unpublished data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
A3-PUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. antidepressant medication — Published,A3-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),15,0.01,-0.13,0.16,38 (95%CI 0~65),,22.67 (df=14),0.84,12,Fig 6,Table 2,KNOWN,"Table 2 row 3; Z=0.20; Fig 6 subtotal SE 0.07, Var 0.01; text p15 (n = 1675); NPT/NComp = 840/835"
A3-ALL,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. antidepressant medication — Published + unpublished,,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),18,-0.05,-0.25,0.15,36 (95%CI 0~62),,26.39 (df=17),0.62,12,Fig 6,Table 2,KNOWN,"Table 2 row 3; Z=-0.50; Fig 6 overall SE 0.10, Var 0.01; delta-g = -0.07, delta-g% printed '-456%' (see DRI-CON-02); text p15: 'pooled mean effect size of g = -0.05 (-0.25~0.15)'; NPT/NComp = 956/950"
A3-QBET,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. ADM — Published vs. Unpublished subgroup contrast,A3-ALL,Q-between (subgroup contrast),MIXED (fully random effects within subgroups; study-to-study variance pooled across subgroups; ANOVA-based Q-test),3 vs 15,,,,,,Qbetw=1.60 (df=1),.21,12,,Table 2,KNOWN,Table 2 row 3
A4-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT + antidepressant medication vs. medication only — Unpublished,A4-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),2,0.37,-0.14,0.89,54 (95%CI '-'),,2.20 (df=1),0.16,12,Fig 7,Table 2,KNOWN,"Table 2 row 4; Z=1.42; Fig 7 subtotal SE 0.26, Var 0.07; text pp15-16: 'g = 0.37 (CI95% -0.14~0.89) for 2 unpublished studies (n = 85)'; NPT/NComp = 41/44; I2 CI printed '-'; pooled entirely from author-supplied unpublished data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
A4-PUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT + antidepressant medication vs. medication only — Published,A4-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),9,0.22,-0.00,0.44,25 (95%CI 0~65),,10.63 (df=8),0.05,12,Fig 7,Table 2,KNOWN,"Table 2 row 4; Z=1.96, printed in italics = non-significant trend (p < .10); Fig 7 subtotal SE 0.11, Var 0.01; text p16: 'g = 0.22 (-0.00~0.44) for 9 published studies (n = 812)'; NPT/NComp = 389/423"
A4-ALL,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT + antidepressant medication vs. medication only — Published + unpublished,,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),11,0.24,0.04,0.45,31 (95%CI 0~65),,14.59 (df=10),0.02,12,Fig 7,Table 2,KNOWN,"Table 2 row 4; Z=2.36*; Fig 7 overall SE 0.10, Var 0.01; delta-g = +0.02, delta-g% = +11%; text p16: 'effect size point estimate of g = 0.24 (0.04~0.45)'; NPT/NComp = 430/467"
A4-QBET,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT+ADM vs. ADM — Published vs. Unpublished subgroup contrast,A4-ALL,Q-between (subgroup contrast),MIXED (fully random effects within subgroups; study-to-study variance pooled across subgroups; ANOVA-based Q-test),2 vs 9,,,,,,Qbetw=0.28 (df=1),.59,12,,Table 2,KNOWN,Table 2 row 4
APLAC-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. pill-placebo control condition — Unpublished,APLAC-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),1,-0.09,-0.59,0.40,,,,NR,14,,S1 Table (values quoted in body text),KNOWN,"Text p14 (results in S1 Table, not in this PDF): 'The pooled mean effect size of psychological treatment relative to pill-placebo control condition was g = -0.09 (-0.59~0.40) in 1 unpublished study'; matches Thase rows F2-27/F4-20; subtype of A1b; pooled entirely from author-supplied unpublished data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
APLAC-PUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. pill-placebo control condition — Published,APLAC-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),5,0.34,0.14,0.53,,,,NR,14,,S1 Table (values quoted in body text),KNOWN,Text p14: 'g = 0.34 (0.14~0.53) in 5 published studies'; composition of the k=5 pool not identifiable from figures (DRI-CON-22); subtype of A1b
APLAC-ALL,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. pill-placebo control condition — Published + unpublished,A1b-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),6,0.19,-0.21,0.59,,,,NR,14,,S1 Table (values quoted in body text),KNOWN,Text p14: 'Adding unpublished studies to published studies resulted in a 45% decrease in effect size point estimate to g = 0.19 (-0.21~0.59)'; subtype of A1b
SENS-RANK,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),Sensitivity: PT vs. other PT with changed psychotherapy ranks for study [47] (Elkin),A2-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),,,,,,,,,14,,S1 Table (not in PDF),UNRESOLVED,"Text p14: 'Changing the psychological treatment ranks did not alter the pattern of results (S1 Table).' Numeric results only in S1 Table (DOCX supplement, not contained in this PDF)"
SENS-39-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),Sensitivity: counting study [39] (Wright 2014 / Frank R21MH061948) as unpublished,,G,RANDOM (Comprehensive Meta-analysis 2.2.064),,,,,,,,,14-15,,S1 Table (not in PDF),UNRESOLVED,Text pp14-15: 'Counting this study as unpublished instead of published did not alter the pattern of results (S1 Table).'; publication rates become '74.5% (41/55) and 25.5% (14/55)' (p12); numeric pooled results only in S1 Table
SENS-GOTTLIEB-A3,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),"Sensitivity: PT vs. ADM including estimated Gottlieb study (g = 0.00, n = 10 per condition)",A3-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),,,,,,,,,15,,S1 Table (not in PDF),UNRESOLVED,Text p15: 'This pattern of results was not altered when we included the estimates from the unpublished study (Gottlieb) for which the original data were not available (S1 Table).'; estimate defined p11; numeric results only in S1 Table
SENS-GOTTLIEB-A4,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),Sensitivity: PT+ADM vs. ADM including estimated Gottlieb study,A4-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),,,,,,,,,16,,S1 Table (not in PDF),UNRESOLVED,Text p16: 'Including the estimates from one unpublished study for which the original data were not available (Gottlieb) did not alter this result pattern (S1 Table).'; numeric results only in S1 Table
